Level 1,Level 2,Level 3,Synonyms,,,,,,,,,,,,,,,,,,,,,,,,
Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Residential,,,,,,,,,,,,,,,,,,,,,,,,,,
,,apartment,apartments,studio,,,,,,,,,,,,,,,,,,,,,,,
,,dormitory,dorm,fraternity house,fraternity,,,,,,,,,,,,,,,,,,,,,,
,,house,House,Carriage_House,deckhouse,semidetached_house,townhouse,condominiums,Condos,condominum,affordable housing,,,,,,,,,,,,,,,,
,,residential,bungalow,cabin,hut,lodge,mansion,mobile_home,residence,,,,,,,,,,,,,,,,,,
,,Home,,,,,,,,,,,,,,,,,,,,,,,,,
Service,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Education,,,,,,,,,,,,,,,,,,,,,,,,,,
,,college,college_building,,,,,,,,,,,,,,,,,,,,,,,,
,,childcare,childcare facility,Day Care,,,,,,,,,,,,,,,,,,,,,,,
,,Preschool,,,,,,,,,,,,,,,,,,,,,,,,,
,,kindergarten,,,,,,,,,,,,,,,,,,,,,,,,,
,,school,High School,music_school,classroom,,,,,,,,,,,,,,,,,,,,,,
,,library,university library,,,,,,,,,,,,,,,,,,,,,,,,
,,university,,,,,,,,,,,,,,,,,,,,,,,,,
,,education,academic,academic_building,,,,,,,,,,,,,,,,,,,,,,,
,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,
,,dentist,Dentist_Office,,,,,,,,,,,,,,,,,,,,,,,,
,,doctor,doctors,,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,
,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,
,,Health_Center,,,,,,,,,,,,,,,,,,,,,,,,,
,,nursing_home,,,,,,,,,,,,,,,,,,,,,,,,,
,,medical,,,,,,,,,,,,,,,,,,,,,,,,,
,,health,healthcare,,,,,,,,,,,,,,,,,,,,,,,,
,,mental_health_clinic,,,,,,,,,,,,,,,,,,,,,,,,,
,Religious,,,,,,,,,,,,,,,,,,,,,,,,,,
,,buddhist,christian,christian_anglican,christian_catholic,christian_evangelical,christian_lutheran,christian_methodist,christian_orthodox,christian_protestant,hindu,jewish,muslim,muslim_shia,muslim_sunni,sikh,taoist,cathedral,chapel,church,monastery,mosque,religion,presbytery,religious,,
,Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,
,,transportation,,,,,,,,,,,,,,,,,,,,,,,,,
,,airport,airfield,helipad,apron,,,,,,,,,,,,,,,,,,,,,,
,,bus_station,bus_stop,,,,,,,,,,,,,,,,,,,,,,,,
,,train_station,railway_station,railway_halt,tram_stop,subway_entrance,,,,,,,,,,,,,,,,,,,,,
,,car_rental,car_sharing,,,,,,,,,,,,,,,,,,,,,,,,
,,taxi,taxi_rank,,,,,,,,,,,,,,,,,,,,,,,,
,,ferry_terminal,,,,,,,,,,,,,,,,,,,,,,,,,
,,fuel,service,Gas_Station,,,,,,,,,,,,,,,,,,,,,,,
,,parking,garage,garages,parking_multistorey,parking_underground,vending_parking,parking_site,parking_lot,car_park,parking_structure,parking_space,,,,,,,,,,,,,,,
,,parking_bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,
,,bank,,,,,,,,,,,,,,,,,,,,,,,,,
,,atm,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,
,,government,Government,courthouse,embassy,municipal,town_hall,,,,,,,,,,,,,,,,,,,,
,,police,Police Station,,,,,,,,,,,,,,,,,,,,,,,,
,,post_office,post_box,Post_Office,US_Post_Office,,,,,,,,,,,,,,,,,,,,,,
,,community_centre,community_center,,,,,,,,,,,,,,,,,,,,,,,,
,,fire_station,Fire_Department,fire_department,,,,,,,,,,,,,,,,,,,,,,,
,,prison,Jail_House,jail,,,,,,,,,,,,,,,,,,,,,,,
,,telephone,,,,,,,,,,,,,,,,,,,,,,,,,
,,public_building,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leisure,,,,,,,,,,,,,,,,,,,,,,,,,,
,,cinema,,,,,,,,,,,,,,,,,,,,,,,,,
,,bar,pub,nightclub,,,,,,,,,,,,,,,,,,,,,,,
,,theatre,theater,concert_hall,,,,,,,,,,,,,,,,,,,,,,,
,,theme_park,,,,,,,,,,,,,,,,,,,,,,,,,
,,zoo,,,,,,,,,,,,,,,,,,,,,,,,,
,,museum,arts_centre,arts_center,,,,,,,,,,,,,,,,,,,,,,,
,,casino,,,,,,,,,,,,,,,,,,,,,,,,,
,Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,
,,kiosk,newsagent,vending_machine,vending_cigarette,vending_any,,,,,,,,,,,,,,,,,,,,,
,,shop,clothes,shoe_shop,outdoor_shop,bicycle_shop,bookshop,car_dealership,computer_shop,furniture_shop,gift_shop,jeweller,mobile_phone_shop,sports_shop,stationery,toy_shop,video_shop,store,retail,optician,garden_centre,general,florist,chemist,retail_store,Store,shopping
,,supermarket,butcher,convenience,greengrocer,grocery_store,Grocery,,,,,,,,,,,,,,,,,,,,
,,mall,department_store,market_place,shopping_center,,,,,,,,,,,,,,,,,,,,,,
,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
,,beverages,biergarten,,,,,,,,,,,,,,,,,,,,,,,,
,,deli,,,,,,,,,,,,,,,,,,,,,,,,,
,,restaurant,food_court,,,,,,,,,,,,,,,,,,,,,,,,
,,cafe,coffee shop,,,,,,,,,,,,,,,,,,,,,,,,
,,bakery,,,,,,,,,,,,,,,,,,,,,,,,,
,,fast_food,,,,,,,,,,,,,,,,,,,,,,,,,
,,food_and_drink,food,,,,,,,,,,,,,,,,,,,,,,,,
,Lifestyle,,,,,,,,,,,,,,,,,,,,,,,,,,
,,laundry,,,,,,,,,,,,,,,,,,,,,,,,,
,,beauty_shop,hairdresser,,,,,,,,,,,,,,,,,,,,,,,,
,,car_wash,car_repair,,,,,,,,,,,,,,,,,,,,,,,,
,,hotel,hostel,motel,bed_and_breakfast,guesthouse,chalet,inn,,,,,,,,,,,,,,,,,,,
,,recycling,recycling_clothes,recycling_glass,recycling_metal,recycling_paper,,,,,,,,,,,,,,,,,,,,,
,,stadium,,,,,,,,,,,,,,,,,,,,,,,,,
,,veterinary,,,,,,,,,,,,,,,,,,,,,,,,,
,,travel_agent,,,,,,,,,,,,,,,,,,,,,,,,,
,other,,,,,,,,,,,,,,,,,,,,,,,,,,
,,commercial,commercial;greenhous,commercial;yes,,,,,,,,,,,,,,,,,,,,,,,
Business,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Business,,,,,,,,,,,,,,,,,,,,,,,,,,
,,industrial,,,,,,,,,,,,,,,,,,,,,,,,,
,,office,,,,,,,,,,,,,,,,,,,,,,,,,
,,company,,,,,,,,,,,,,,,,,,,,,,,,,
,,factory,quarry,power_station,,,,,,,,,,,,,,,,,,,,,,,
,,convention_center,convention_centre,conference_center,,,,,,,,,,,,,,,,,,,,,,,
Recreational,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sports_centre,Sports House,sports_complex,sports_hall,recreational_center,Gymnasium,Gym,,,,,,,,,,,,,,,,,,,
,,swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,
,Outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,
,,nature,beach,cave_entrance,cliff,glacier,peak,spring,tree,volcano,nature_reserve,forest,meadow,orchard,vineyard,scrub,grass,national_park,basin,,,,,,,,
,,water,waterfall,reservoir,river,dock,glacier,wetland,,,,,,,,,,,,,,,,,,,
,,park,allotments,recreation_ground,village_green,,,,,,,,,,,,,,,,,,,,,,
,,farm,farmland,farmyard,,,,,,,,,,,,,,,,,,,,,,,
,,bicycle_rental,,,,,,,,,,,,,,,,,,,,,,,,,
,,golf_course,,,,,,,,,,,,,,,,,,,,,,,,,
,,dog_park,,,,,,,,,,,,,,,,,,,,,,,,,
,,ice_rink,Ice_Skating_Rink,,,,,,,,,,,,,,,,,,,,,,,,
,,picnic_site,,,,,,,,,,,,,,,,,,,,,,,,,
,,pitch,,,,,,,,,,,,,,,,,,,,,,,,,
,,playground,Playground,,,,,,,,,,,,,,,,,,,,,,,,
,,track,,,,,,,,,,,,,,,,,,,,,,,,,
,,viewpoint,observation_tower,,,,,,,,,,,,,,,,,,,,,,,,
,,attraction,monument,memorial,castle,ruins,archaeological,battlefield,fort,aerialway_station,,,,,,,,,,,,,,,,,
,,hunting_stand,,,,,,,,,,,,,,,,,,,,,,,,,
,,graveyard,cemetery,,,,,,,,,,,,,,,,,,,,,,,,
,,tennis_court,,,,,,,,,,,,,,,,,,,,,,,,,
,,shelter,alpine_hut,,,,,,,,,,,,,,,,,,,,,,,,
,,camp_site,caravan_site,,,,,,,,,,,,,,,,,,,,,,,,
,,tourism,tourist_info,tourist_map,tourist_board,tourist_guidepost,,,,,,,,,,,,,,,,,,,,,
